ID_Vendedor,Nombre,Email,Nombre_Sucursal,Zona_Venta
72,Franco Hermann,carlospurdy@grant.org,PYA Analytics,Tucson
73,Juana Aufderhar,joprice@boyer.com,PYA Analytics,St. Paul
74,Omer Toy,lorenzaschulist@smith.com,"KidAdmit, Inc.",Tampa
75,Sadye Kuhlman,evansrobel@rodriguez.biz,DemystData,Hialeah
76,Kimberly Rice,cicerolarson@monahan.info,Smartronix,Santa Ana
77,Bridgette Considine,mollymurray@heaney.io,Smartronix,New Orleans
78,Helene Orn,alexzandersmith@west.name,"KidAdmit, Inc.",Albuquerque
79,Royce Yundt,walkerstamm@white.biz,Kyruus,New York City
80,Bell Parker,lianarussel@dubuque.io,Bekins,Jacksonville
81,Titus Torp,robinweber@howell.name,Kyruus,St. Petersburg
82,Brionna Swaniawski,calistavandervort@schinner.io,Xatori,Philadelphia
83,Remington Hessel,reidcasper@eichmann.biz,Forrester Research,Wichita
84,Zaria Harris,sebastianconsidine@maggio.net,Xatori,Fort Worth
85,Marley Stark,chaunceyschaefer@metz.io,Smartronix,Santa Ana
86,Shanon Mayer,osvaldodickinson@carter.name,Marlin & Associates,Detroit
87,Winona Hermann,gaetanokeebler@mueller.net,Marlin & Associates,Hialeah
88,Kenyatta Bogisich,garthwaelchi@zieme.com,Kyruus,Riverside
89,Ashlynn Parker,gonzalosauer@hintz.org,Xatori,Stockton
90,Marques Bogisich,olaffahey@johnson.com,Marlin & Associates,San Francisco
91,Darrel Marvin,jewellshanahan@bergstrom.info,Forrester Research,Kansas
92,Fay Konopelski,kipbatz@leffler.com,Forrester Research,St. Paul
93,Tracey Cronin,rosemarymarquardt@connelly.com,PYA Analytics,Garland
94,Trycia Conn,amarimraz@hills.biz,PYA Analytics,Chesapeake
95,Mertie Sanford,reedullrich@stamm.net,Apextech LLC,Cleveland
96,Keith Boyer,oletakuhlman@reichert.net,Forrester Research,Indianapolis
97,Brooklyn Beahan,joaniehamill@roob.info,Apextech LLC,San Diego
98,Fritz Hagenes,antwanabshire@franecki.org,DemystData,Henderson
99,Lauretta Swift,adrianacasper@collier.io,Forrester Research,Irving
100,Kole Auer,jeaniemante@botsford.io,Xatori,Birmingham
